"Prospect Name","Domain","Relevant URL","Category","Country/Market","Audience","Why Relevant to Nexora","Observed Link Opportunity","Suggested Nexora Target Page","Suggested Pitch Angle","Contact Route","Contact Page","Editorial/Submission Guidelines","Quality Rating","Relevance Rating","Difficulty Rating","Lead Potential","Link Potential","Priority Score","Status","Notes"
"Grist","grist.org","https://grist.org/","Climate journalism","United States / national or stated audience","Climate-aware consumers","Active, editorially credible climate journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Inside Climate News","insideclimatenews.org","https://insideclimatenews.org/","Climate journalism","United States / national or stated audience","US consumers and policymakers","Active, editorially credible climate journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Heatmap News","heatmap.news","https://heatmap.news/","Climate business journalism","United States / national or stated audience","Climate-aware consumers","Active, editorially credible climate business journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Electrek","electrek.co","https://electrek.co/","Clean-tech publication","United States / national or stated audience","Tech and home-energy readers","Active, editorially credible clean-tech publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"GreenBiz","greenbiz.com","https://www.greenbiz.com/","Sustainability publication","United States / national or stated audience","Business sustainability readers","Active, editorially credible sustainability publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Utility Dive","utilitydive.com","https://www.utilitydive.com/","Energy trade journalism","United States / national or stated audience","Utilities and energy professionals","Active, editorially credible energy trade journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"E&E News","eenews.net","https://www.eenews.net/","Energy policy journalism","United States / national or stated audience","Energy policy readers","Active, editorially credible energy policy journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Solar Industry Magazine","solarindustrymag.com","https://solarindustrymag.com/","Solar trade publication","United States / national or stated audience","Solar professionals","Active, editorially credible solar trade publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"This Old House","thisoldhouse.com","https://www.thisoldhouse.com/solar-alternative-energy","Home-improvement editorial","United States / national or stated audience","US homeowners","Active, editorially credible home-improvement editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Bob Vila","bobvila.com","https://www.bobvila.com/articles/solar-panels/","Home-improvement editorial","United States / national or stated audience","US homeowners","Active, editorially credible home-improvement editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Family Handyman","familyhandyman.com","https://www.familyhandyman.com/","Home-improvement editorial","United States / national or stated audience","DIY homeowners","Active, editorially credible home-improvement editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"House Beautiful","housebeautiful.com","https://www.housebeautiful.com/","Home and lifestyle editorial","United States / national or stated audience","Homeowners","Active, editorially credible home and lifestyle editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Architectural Digest","architecturaldigest.com","https://www.architecturaldigest.com/","Home and design editorial","United States / national or stated audience","Affluent homeowners","Active, editorially credible home and design editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Apartment Therapy","apartmenttherapy.com","https://www.apartmenttherapy.com/","Home and lifestyle editorial","United States / national or stated audience","Homeowners","Active, editorially credible home and lifestyle editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"The Spruce","thespruce.com","https://www.thespruce.com/","Home-improvement editorial","United States / national or stated audience","Homeowners","Active, editorially credible home-improvement editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Angi","angi.com","https://www.angi.com/articles/solar-panels.htm","Home services platform","United States / national or stated audience","US homeowners","Active, editorially credible home services platform with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Fixr","fixr.com","https://www.fixr.com/costs/solar-panel-installation","Home-improvement cost guide","United States / national or stated audience","US homeowners","Active, editorially credible home-improvement cost guide with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Houzz","houzz.com","https://www.houzz.com/","Home design platform","United States / national or stated audience","Homeowners and renovators","Active, editorially credible home design platform with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Green Building Advisor","greenbuildingadvisor.com","https://www.greenbuildingadvisor.com/","High-performance home editorial","United States / national or stated audience","Building-aware homeowners","Active, editorially credible high-performance home editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Fine Homebuilding","finehomebuilding.com","https://www.finehomebuilding.com/","Home-building editorial","United States / national or stated audience","Homeowners and builders","Active, editorially credible home-building editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Pro Builder","probuilder.com","https://www.probuilder.com/","Home-building publication","United States / national or stated audience","Home builders","Active, editorially credible home-building publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Builder Magazine","builderonline.com","https://www.builderonline.com/","Home-building publication","United States / national or stated audience","Home builders","Active, editorially credible home-building publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Qualified Remodeler","qualifiedremodeler.com","https://www.qualifiedremodeler.com/","Remodeling publication","United States / national or stated audience","Remodelers and homeowners","Active, editorially credible remodeling publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Remodelista","remodelista.com","https://www.remodelista.com/","Home renovation editorial","United States / national or stated audience","Homeowners","Active, editorially credible home renovation editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Realtor.com","realtor.com","https://www.realtor.com/advice/home-improvement/","Real-estate editorial","United States / national or stated audience","US homeowners","Active, editorially credible real-estate editorial with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Redfin","redfin.com","https://www.redfin.com/blog/","Real-estate editorial","United States / national or stated audience","Home buyers and sellers","Active, editorially credible real-estate editorial with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Zillow","zillow.com","https://www.zillow.com/learn/","Real-estate editorial","United States / national or stated audience","Home buyers and sellers","Active, editorially credible real-estate editorial with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"The Mortgage Reports","themortgagereports.com","https://themortgagereports.com/","Home-finance editorial","United States / national or stated audience","Home buyers","Active, editorially credible home-finance editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"NerdWallet","nerdwallet.com","https://www.nerdwallet.com/article/mortgages/solar-panels","Personal-finance editorial","United States / national or stated audience","US consumers","Active, editorially credible personal-finance editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Bankrate","bankrate.com","https://www.bankrate.com/homeownership/solar-panel-cost/","Personal-finance editorial","United States / national or stated audience","US homeowners","Active, editorially credible personal-finance editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Kiplinger","kiplinger.com","https://www.kiplinger.com/","Personal-finance editorial","United States / national or stated audience","US consumers","Active, editorially credible personal-finance editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Money","money.com","https://money.com/","Personal-finance editorial","United States / national or stated audience","US consumers","Active, editorially credible personal-finance editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Consumer Reports","consumerreports.org","https://www.consumerreports.org/home-garden/solar-panels/","Consumer advocacy editorial","United States / national or stated audience","US consumers","Active, editorially credible consumer advocacy editorial with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"U.S. News Real Estate","usnews.com","https://www.usnews.com/360-reviews/services/solar","Consumer and real-estate editorial","United States / national or stated audience","US homeowners","Active, editorially credible consumer and real-estate editorial with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Forbes Home","forbes.com","https://www.forbes.com/home-improvement/solar/","Home-improvement editorial","United States / national or stated audience","US homeowners","Active, editorially credible home-improvement editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"ConsumerAffairs","consumeraffairs.com","https://www.consumeraffairs.com/solar-energy/","Consumer-review editorial","United States / national or stated audience","US consumers","Active, editorially credible consumer-review editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"SmartAsset","smartasset.com","https://smartasset.com/","Personal-finance editorial","United States / national or stated audience","US consumers","Active, editorially credible personal-finance editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Investopedia","investopedia.com","https://www.investopedia.com/","Personal-finance editorial","United States / national or stated audience","US consumers","Active, editorially credible personal-finance editorial with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"US Department of Energy","energy.gov","https://www.energy.gov/cmei/systems/homeowners-guide-solar","Government consumer resource","United States / national or stated audience","US homeowners","Active, editorially credible government consumer resource with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"NREL PVWatts","nrel.gov","https://pvwatts.nrel.gov/","Research calculator","United States / national or stated audience","US property owners","Active, editorially credible research calculator with audience overlap around homeowner solar decisions.","Reference-only research or tool citation; commercial links unlikely","/how-many-solar-panels-do-i-need","Methodology and consumer-education data","Unknown","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","9","7","10","2","2","Low","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"DSIRE","dsireusa.org","https://www.dsireusa.org/","Incentives resource","United States / national or stated audience","US property owners","Active, editorially credible incentives resource with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Solar Energy Industries Association","seia.org","https://seia.org/solar101/","Industry association","United States / national or stated audience","US solar consumers and industry","Active, editorially credible industry association with audience overlap around homeowner solar decisions.","Resource review or educational collaboration","future solar system-size estimator","Independent, cited homeowner tool","Contact/editorial route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","8","8","5","6","Medium","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
